,Name,Rating,Genre,Release date,Runtime,Director,Link
130,Fantastic Beasts and Where to Find Them,73.0,"Adventure, Fantasy",        11/18/2016 (IN)      ,              2h 12m          ,David Yates,https://www.themoviedb.org/movie/259316
131,Harry Potter and the Chamber of Secrets,77.0,"Adventure, Fantasy",        04/25/2003 (IN)      ,              2h 41m          ,Chris Columbus,https://www.themoviedb.org/movie/672
132,Better Nate Than Ever,68.0,"Music, Family, Comedy",        04/01/2022 (US)      ,              1h 32m          ,Tim Federle,https://www.themoviedb.org/movie/826953
133,Zeros and Ones,52.0,"Thriller, War",        11/19/2021 (US)      ,              1h 25m          ,Abel Ferrara,https://www.themoviedb.org/movie/762433
134,Mobile Suit Gundam Hathaway,76.0,"Animation, Action, Drama, Science Fiction",        06/11/2021 (JP)      ,              1h 36m          ,Shuko Murase,https://www.themoviedb.org/movie/685274
135,The Conjuring: The Devil Made Me Do It,76.0,"Horror, Mystery, Thriller",        06/04/2021 (US)      ,              1h 51m          ,Michael Chaves,https://www.themoviedb.org/movie/423108
136,Save The Trees,44.0,Animation,        12/01/2021 (ES)      ,              1h 20m          ,Haizea Pastor,https://www.themoviedb.org/movie/886896
137,Riverdance: The Animated Adventure,53.0,"Animation, Fantasy, Music, Adventure, Comedy, Family",        01/14/2022 (US)      ,              1h 26m          ,Eamonn Butler,https://www.themoviedb.org/movie/756403
138,Without Saying Goodbye,68.0,"Comedy, Romance",        03/18/2022 (PE)      ,              1h 36m          ,Bruno Ascenzo,https://www.themoviedb.org/movie/944664
139,Moonshot,90,"Comedy, Romance, Science Fiction",        05/05/2022 (DE)      ,              1h 44m          ,Christopher Winterbauer,https://www.themoviedb.org/movie/767825
140,The Croods: A New Age,76.0,"Animation, Family, Adventure, Fantasy, Comedy",        11/25/2020 (US)      ,              1h 35m          ,Joel Crawford,https://www.themoviedb.org/movie/529203
141,The Tomorrow War,80,"Action, Science Fiction, Adventure",        07/02/2021 (US)      ,              2h 18m          ,Chris McKay,https://www.themoviedb.org/movie/588228
142,Avengers: Endgame,83.0,"Adventure, Science Fiction, Action",        04/26/2019 (IN)      ,              3h 1m          ,Anthony Russo,https://www.themoviedb.org/movie/299534
143,Finch,81.0,"Science Fiction, Drama, Adventure",        11/04/2021 (US)      ,              1h 55m          ,Miguel Sapochnik,https://www.themoviedb.org/movie/522402
144,The Avengers,77.0,"Science Fiction, Action, Adventure",        04/27/2012 (IN)      ,              2h 23m          ,Joss Whedon,https://www.themoviedb.org/movie/24428
145,Tarumama,48.0,"Horror, Drama",        07/29/2021 (CO)      ,              1h 30m          ,Andres Beltran,https://www.themoviedb.org/movie/775943
146,The Exorcism of God,67.0,Horror,        02/10/2022 (BR)      ,              1h 38m          ,Alejandro Hidalgo,https://www.themoviedb.org/movie/836225
147,The Pirates: The Last Royal Treasure,67.0,"Action, Adventure, Comedy, History",        01/26/2022 (KR)      ,              2h 6m          ,Kim Joung-hoon,https://www.themoviedb.org/movie/591120
148,Wrath of Man,77.0,"Action, Crime, Thriller",        05/07/2021 (US)      ,              1h 59m          ,Guy Ritchie,https://www.themoviedb.org/movie/637649
149,Don't Breathe 2,74.0,"Thriller, Horror",        09/17/2021 (IN)      ,              1h 38m          ,Rodo Sayagues,https://www.themoviedb.org/movie/482373
150,Miraculous World: Shanghai – The Legend of Ladydragon,79.0,"Animation, Comedy, Family, Adventure",        05/15/2021 (ES)      ,              52m          ,Thomas Astruc,https://www.themoviedb.org/movie/726684
151,The Unholy,68.0,Horror,        04/02/2021 (US)      ,              1h 39m          ,Evan Spiliotopoulos,https://www.themoviedb.org/movie/632357
152,Jurassic World Dominion,0,"Adventure, Action, Science Fiction, Thriller",        06/10/2022 (US)      ,              2h 26m          ,Colin Trevorrow,https://www.themoviedb.org/movie/507086
153,The Last Duel,76.0,"Action, Drama, History",        10/22/2021 (IN)      ,              2h 33m          ,Ridley Scott,https://www.themoviedb.org/movie/617653
154,Dangerous,63.0,"Action, Thriller",        11/05/2021 (US)      ,              1h 39m          ,David Hackl,https://www.themoviedb.org/movie/763788
155,Dragon Ball Super: Super Hero,0,"Animation, Science Fiction, Action",        06/11/2022 (JP)      ,None,Tetsuro Kodama,https://www.themoviedb.org/movie/610150
156,Fantastic Beasts: The Crimes of Grindelwald,69.0,"Adventure, Fantasy, Drama",        11/16/2018 (IN)      ,              2h 14m          ,David Yates,https://www.themoviedb.org/movie/338952
157,The Last: Naruto the Movie,78.0,"Action, Romance, Animation",        12/06/2014 (JP)      ,              1h 54m          ,Tsuneo Kobayashi,https://www.themoviedb.org/movie/317442
158,The Novice,65.0,"Drama, Thriller",        03/24/2022 (RU)      ,              1h 34m          ,Lauren Hadaway,https://www.themoviedb.org/movie/821427
159,Gangubai Kathiawadi,79.0,"Crime, Drama",        02/25/2022 (IN)      ,              2h 37m          ,Sanjay Leela Bhansali,https://www.themoviedb.org/movie/664332
160,Ripper Untold,64.0,Horror,        06/28/2021 (GB)      ,              1h 25m          ,Steven Lawson,https://www.themoviedb.org/movie/820511
161,West Side Story,72.0,"Drama, Romance, Crime",        12/10/2021 (US)      ,              2h 37m          ,Steven Spielberg,https://www.themoviedb.org/movie/511809
162,Raya and the Last Dragon,80,"Animation, Family, Fantasy, Action, Adventure",        03/05/2021 (US)      ,              1h 47m          ,Carlos López Estrada,https://www.themoviedb.org/movie/527774
163,Dragon Fury,62.0,"Horror, Fantasy, Mystery",        06/15/2021 (US)      ,              1h 28m          ,Scott Jeffrey,https://www.themoviedb.org/movie/839436
164,The Addams Family 2,71.0,"Animation, Adventure, Comedy, Family",        10/01/2021 (CA)      ,              1h 33m          ,Conrad Vernon,https://www.themoviedb.org/movie/639721
165,"Miraculous World: New York, United HeroeZ",83.0,"Animation, Family, Comedy, Adventure, TV Movie",        11/21/2020 (ES)      ,              55m          ,Thomas Astruc,https://www.themoviedb.org/movie/755812
166,Apex,54.0,"Action, Thriller, Science Fiction",        11/25/2021 (KR)      ,              1h 48m          ,Edward Drake,https://www.themoviedb.org/movie/763164
167,The Amazing Spider-Man,67.0,"Action, Adventure, Fantasy",        06/29/2012 (IN)      ,              2h 16m          ,Marc Webb,https://www.themoviedb.org/movie/1930
168,¿Y cómo es él?,63.0,Comedy,        04/07/2022 (MX)      ,              1h 35m          ,Ariel Winograd,https://www.themoviedb.org/movie/671318
169,Fortress,63.0,"Crime, Action, Thriller",        12/17/2021 (US)      ,              1h 40m          ,James Cullen Bressack,https://www.themoviedb.org/movie/826749
170,Seal Team,72.0,"Animation, Family, Comedy",        10/28/2021 (CZ)      ,              1h 38m          ,Greig Cameron,https://www.themoviedb.org/movie/823610
171,Naruto Shippuden the Movie,72.0,"Animation, Action, Fantasy",        08/04/2007 (JP)      ,              1h 34m          ,Hajime Kamegaki,https://www.themoviedb.org/movie/20982
